TEC,cmd,enabled
1,0.09679215910272083,1
2,0.15677395477247594,1
3,0.21888560080237235,1
4,-0.02160688585553233,1
5,-0.014379148808530225,1
6,0.1989601366773657,1
7,-0.09963988168694128,1
8,-0.14450118407414078,1
9,0.05003018044693749,1
10,-0.20514276582507884,1
11,-0.09356748201686119,1
12,-0.1780637825553775,1
13,-0.038532555122185654,1
14,0.020884202994063437,1
15,-0.1795222670262166,1
16,-0.09249467890898658,1
17,-0.2775799582342131,1
18,-0.08267657696328976,1
19,0.05640025298616127,1
20,0.14326257938355685,1
21,0.14053239231019746,1
22,0.05711714740447482,1
23,0.021941936316782935,1
24,0.10380668419348134,1
