TEC,cmd,enabled
1,0.14960721193521564,1
2,0.20511197887088703,1
3,0.22057809977732876,1
4,-0.09349661636904168,1
5,-0.005425642204949921,1
6,0.1753839862132729,1
7,-0.07766840678208974,1
8,-0.15050309614863022,1
9,0.15417442577729956,1
10,-0.2499618818408803,1
11,-0.02196388578589653,1
12,-0.28612359063346804,1
13,-0.10388327455878796,1
14,0.04985986695812826,1
15,-0.25758818203629313,1
16,-0.0008276215324991426,1
17,-0.25999940813519723,1
18,0.0054796431961335185,1
19,0.1410375826923506,1
20,0.2031328755252617,1
21,0.09095205236484141,1
22,0.03142581669602395,1
23,0.023115252107405768,1
24,0.1068242168094286,1
