TEC,cmd,enabled
1,-0.3886159275768227,1
2,0.27468501119679656,1
3,0.5296554816599622,1
4,0.22541174025176047,1
5,-0.3100932855618306,1
6,0.2626070199150996,1
7,0.0062493531073183894,1
8,-0.11606374088607613,1
9,-0.07730631379285546,1
10,-0.34982121442574216,1
11,-0.10668314239970328,1
12,0.23948399502571383,1
13,0.129363955588505,1
14,-0.1495995163954541,1
15,0.01771062542468234,1
16,-0.12721365991066044,1
17,-0.5380734005680246,1
18,-0.04790589244655069,1
19,-0.45426864802413686,1
20,0.4844509380073138,1
21,0.4283105386516054,1
22,0.10029622479979655,1
23,0.004729795119986613,1
24,-0.03901677354198313,1
