TEC,cmd,enabled
1,0.21436123,1
2,-0.00495113,1
3,-0.11757119,1
4,-0.00494711,1
5,0.00661357,1
6,0.00801154,1
7,0.01040047,1
8,0.06070638,1
9,-0.1089327,1
10,-0.06495096,1
11,-0.01855315,1
12,-0.10009754,1
13,-0.00949694,1
14,0.00325726,1
15,-0.1335276,1
16,-0.12330648,1
17,0.00989675,1
18,-0.00595356,1
19,0.00632757,1
20,-0.01411828,1
21,-0.00646934,1
22,-0.00605925,1
23,0.00190873,1
24,0.23893678,1
